Rank,Name,TM,PSN,Points,Games Played,PPG
557,Dalyn Dawkins,TEN,RB,2.6,2,1.3
558,Gunner Olszewski,NE,WR,2.4,8,0.3
559,Mike Thomas,LAR,WR,2.4,15,0.2
560,Isaac Nauta,DET,TE,2.3,5,0.5
560,Cody Hollister,TEN,WR,2.3,5,0.5
562,Scott Simonson,NYG,TE,2.1,6,0.4
563,Brandon Zylstra,CAR,WR,2,7,0.3
563,Levine Toilolo,SF,TE,2,12,0.2
563,Cam Sims,WAS,WR,2,7,0.3
566,Jeff Smith,NYJ,WR,1.7,1,1.7
566,Sean Culkin,LAC,TE,1.7,4,0.4
568,Eric Saubert,Multi,TE,1.6,1,1.6
568,Chris Manhertz,CAR,TE,1.6,14,0.1
568,Antony Auclair,TB,TE,1.6,8,0.2
571,De'Anthony Thomas,Multi,WR,1.5,13,0.1
572,Roosevelt Nix,PIT,RB,1.4,3,0.5
572,Ben Koyack,JAC,TE,1.4,11,0.1
572,Austin Carr,NO,WR,1.4,7,0.2
575,Chris Herndon,NYJ,TE,1.2,2,0.6
575,Dwayne Harris,OAK,WR,1.2,3,0.4
575,Josh Adams,NYJ,RB,1.2,2,0.6
575,Damien Harris,NE,RB,1.2,2,0.6
579,Tyler Ervin,Multi,RB,1.1,9,0.1
579,Dalton Schultz,DAL,TE,1.1,15,0.1
581,Jakob Johnson,NE,RB,1,4,0.3
582,Darrell Daniels,ARI,TE,0.9,11,0.1
582,Jordan Scarlett,CAR,RB,0.9,9,0.1
582,Zach Gentry,PIT,TE,0.9,4,0.2
582,Krishawn Hogan,NO,WR,0.9,8,0.1
582,Josh Ferguson,WAS,RB,0.9,1,0.9
582,John Kelly,LAR,RB,0.9,4,0.2
588,Xavier Grimble,PIT,TE,0.8,3,0.3
588,Josh McCown,PHI,QB,0.8,3,0.3
590,Tony Brooks-James,Multi,RB,0.7,3,0.2
591,De'Lance Turner,Multi,RB,0.6,8,0.1
591,Eric Tomlinson,Multi,TE,0.6,7,0.1
591,Ryan Griffin,TB,QB,0.6,2,0.3
594,Buddy Howell,HOU,RB,0.5,15,0
595,Alfred Morris,Multi,RB,0.4,1,0.4
596,James Develin,NE,RB,0.3,2,0.2
597,Dexter Williams,GB,RB,0.2,3,0.1
598,Trevor Siemian,NYJ,QB,0.1,1,0.1
599,Jaleel Scott,BAL,WR,0,2,0
599,Max McCaffrey,FA,WR,0,1,0
599,Kaare Vedvik,Multi,K,0,1,0
599,Trayveon Williams,CIN,RB,0,10,0
599,David Fales,NYJ,QB,0,2,0
599,Craig Reynolds,Multi,RB,0,3,0
599,Dion Sims,FA,TE,0,1,0
599,River Cracraft,Multi,WR,0,2,0
599,Kyle Nelson,SF,TE,0,10,0
599,Matthew Slater,NE,WR,0,15,0
599,Senorise Perry,BUF,RB,0,10,0
599,Austin Walter,NYG,RB,0,1,0
599,Jordy Nelson,FA,WR,0,1,0
599,Stephen Anderson,Multi,TE,0,1,0
599,Neal Sterling,FA,TE,0,1,0
599,Caleb Sturgis,FA,K,0,1,0
599,Brandon LaFell,FA,WR,0,1,0
599,Gehrig Dieter,KC,WR,0,3,0
599,Lil'Jordan Humphrey,NO,WR,0,4,0
599,Taiwan Jones,HOU,RB,0,10,0
599,Juwann Winfree,DEN,WR,0,3,0
599,Evan Baylis,GB,TE,0,5,0
599,Charone Peake,FA,WR,0,1,0
599,Jamaal Charles,FA,RB,0,1,0
599,Jeremy Ross,FA,WR,0,1,0
599,Jeremy Hill,FA,RB,0,1,0
599,Equanimeous St. Brown,GB,WR,0,1,0
599,Riley McCarron,FA,WR,0,1,0
599,Jamize Olawale,DAL,RB,0,15,0
599,Garrett Dickerson,NYG,TE,0,4,0
599,Devine Ozigbo,JAC,RB,0,9,0
599,Pierre Garcon,FA,WR,0,1,0
599,Torrey Smith,FA,WR,0,1,0
599,Andre Holmes,FA,WR,0,1,0
599,Deontay Burnett,Multi,WR,0,1,0
599,Lamar Miller,HOU,RB,0,1,0
599,Kenneth Dixon,NYJ,RB,0,1,0
599,Cyril Grayson,Multi,WR,0,1,0
599,Alex Collins,SEA,RB,0,1,0
599,Carson Meier,ATL,TE,0,1,0
599,Chad Kelly,IND,QB,0,1,0
599,Corey Coleman,NYG,WR,0,1,0
599,Antonio Gates,FA,TE,0,1,0
599,Marshawn Lynch,SEA,RB,0,1,0
599,Chris Ivory,FA,RB,0,1,0
599,Matt Cassel,FA,QB,0,1,0
599,Alex Ellis,PHI,TE,0,3,0
599,Jalen Guyton,LAC,WR,0,3,0
599,Rashad Greene,FA,WR,0,1,0
599,Alexander Hollins,MIN,WR,0,4,0
599,Charles Jones,JAC,TE,0,3,0
599,Ryan Santoso,TEN,K,0,3,0
599,Chad Williams,IND,WR,0,1,0
599,Deante Burton,Multi,WR,0,2,0
